AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT,ORG TYPE
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$81,704",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$31,233",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$90,281",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,253",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$2,349",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$34,476",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$39,294",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$20,094",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,148",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,252",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$55,128",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$57,498",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$31,406",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$17,917",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$30,143",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$64,095",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$28,932",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$26,907",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$37,863",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$46,053",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$9,215",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$92,680",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$64,279",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$50,465",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$31,633",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,053",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$49,595",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$19,226",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,124",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$14,782",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$10,102",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$48,278",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$6,388",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$13,575",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,063",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$98,380",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$3,662",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$46,831",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$20,160",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$51,243",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,973",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$60,349",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$9,710",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$36,360",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$51,635",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$77,555",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$50,473",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$55,971",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$47,488",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$138,762",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,294",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,277",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$43,650",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,279",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$4,849",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$34,859",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,215",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,$630,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$19,791",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$16,436",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$9,318",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$59,787",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,631",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$17,206",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,947",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$17,107",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$36,544",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$64,057",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$14,952",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$2,823",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$52,436",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$20,165",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$62,540",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$43,820",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$24,457",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$58,428",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$42,205",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,842",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$23,930",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$6,183",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$24,823",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$8,313",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$47,363",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$1,390",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$18,888",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$49,549",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$46,310",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$5,166",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$34,746",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$38,006",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$53,809",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$63,598",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$55,074",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$25,962",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$24,451",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,119",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$43,648",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$247,300",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$33,900",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$29,432",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$4,972",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$63,955",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$47,541",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,$653,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,$257,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$11,193",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$31,826",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$13,657",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$15,907",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$50,284",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,$90,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$5,815",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$12,041",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$21,722",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$30,992",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$30,017",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$36,176",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$26,889",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$2,772",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$29,201",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$7,918",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$34,622",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$14,284",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$25,430",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$13,403",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$20,795",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$6,984",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$48,883",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$20,306",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$38,307",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$14,409",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$3,853",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$3,634",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$18,955",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$63,160",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$65,995",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$59,920",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$7,957",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$19,810",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$24,503",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$22,974",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$2,837",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$64,366",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$18,356",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$29,620",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$19,283",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$18,755",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$28,130",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$29,754",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$45,040",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$13,573",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$74,133",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$67,173",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$330,071",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$6,518",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$11,493",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$41,698",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/5/2025,"$25,011",State Univ/College
